,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
0,https://kream.co.kr/products/85479?fetchRelated=true,8478,UGG,(W) UGG Classic Ultra Mini Platform Boots Chestnut,(W) 어그 클래식 울트라 미니 플랫폼 부츠 체스트넛,14000,458,"$150 (약 195,900원)",1135092-CHE,-,Chestnut
1,https://kream.co.kr/products/84282?fetchRelated=true,10000,UGG,(W) UGG Disquette Slipper Chestnut,(W) 어그 디스케트 슬리퍼 체스트넛,11000,120,"$100 (약 130,600원)",1122550-CHE,-,Chestnut
2,https://kream.co.kr/products/85785?fetchRelated=true,9540,UGG,(W) UGG Classic Clear Mini Boots Natural Black,(W) 어그 클래식 클리어 미니 부츠 내츄럴 블랙,8032,225,"$160 (약 208,900원)",1113190-NBLC,-,Natural/Black
3,https://kream.co.kr/products/84288?fetchRelated=true,1841,UGG,(W) UGG Mini Bailey Button II Boots Chestnut,(W) 어그 미니 베일리 버튼 2 부츠 체스트넛,3681,29,"$155 (약 202,400원)",1016422-CHE,-,Chestnut
4,https://kream.co.kr/products/85710?fetchRelated=true,1330,UGG,(W) UGG Classic Ultra Mini Platform Boots Black,(W) 어그 클래식 울트라 미니 플랫폼 부츠 블랙,4853,64,"$150 (약 195,900원)",1135092-BLK,-,Black
5,https://kream.co.kr/products/181490?fetchRelated=true,100,UGG,(W) UGG Goldenstar Clog Chestnut,(W) 어그 골든스타 클로그 체스트넛,890,2,"$220 (약 287,300원)",1138252-CHE,-,Chestnut
6,https://kream.co.kr/products/183618?fetchRelated=true,642,UGG,(W) UGG Tazz Slipper Mustard Seed,(W) 어그 타즈 슬리퍼 머스타드 시드,1530,10,"$130 (약 169,700원)",1122553-MDSD,-,Mustard Seed
7,https://kream.co.kr/products/275902?fetchRelated=true,15,UGG,(W) UGG Goldenstar Clog Driftwood,(W) 어그 골든스타 클로그 드리프트우드,146,1,"$130 (약 169,700원)",1138252-DRI,-,Driftwood
8,https://kream.co.kr/products/90502?fetchRelated=true,2868,UGG,(W) UGG Embroidered Logo Earmuff Chestnut,(W) 어그 자수 로고 이어머프 체스트넛,6258,89,"138,000원",20955-CHE,-,Chestnut
9,https://kream.co.kr/products/88633?fetchRelated=true,60,UGG,UGG Classic Ultra Mini Chestnut,어그 클래식 울트라 미니 체스트넛,387,7,"$140 (약 182,800원)",1137391-CHE,-,Chestnut
10,https://kream.co.kr/products/89267?fetchRelated=true,140,UGG,(W) UGG Classic Mini II Boots Burnt Cedar,(W) 어그 클래식 미니 2 부츠 번트 시더,435,1,"$150 (약 195,900원)",1016222-BCDR,-,Burnt Cedar
11,https://kream.co.kr/products/88258?fetchRelated=true,1485,UGG,UGG Tasman Black,어그 타스만 블랙,2846,39,"$100 (약 130,600원)",5950-BLK,-,Black
12,https://kream.co.kr/products/95664?fetchRelated=true,768,UGG,(Kids) UGG Funkette Slides Chestnut,(키즈) 어그 펀케트 슬라이드 체스트넛,1787,24,"$85 (약 111,000원)",1130395K-CHE,-,Chestnut
13,https://kream.co.kr/products/84286?fetchRelated=true,6391,UGG,(W) UGG Classic Short II Boots Chestnut,(W) 어그 클래식 쇼트 2 부츠 체스트넛,5401,182,"$170 (약 222,000원)",1016223-CHE,-,Chestnut
14,https://kream.co.kr/products/198375?fetchRelated=true,518,UGG,(W) UGG Tazzette Slipper Sand,(W) 어그 타제트 슬리퍼 샌드,1175,16,-,1134810-SAN,-,Sand
15,https://kream.co.kr/products/85157?fetchRelated=true,2932,UGG,(W) UGG Classic Mini Platform Boots Chestnut,(W) 어그 클래식 미니 플랫폼 부츠 체스트넛,6072,159,"$160 (약 208,900원)",1134991-CHE,-,Chestnut
16,https://kream.co.kr/products/88221?fetchRelated=true,295,UGG,(W) UGG Tasman Slipper Black,(W) 어그 타스만 슬리퍼 블랙,895,5,"$100 (약 130,600원)",5955-BLK,-,Black
17,https://kream.co.kr/products/105212?fetchRelated=true,11,UGG,(W) UGG Classic Mini Side Logo Boot Ultra Matte White,(W) 어그 클래식 미니 사이드 로고 부츠 울트라 매트 화이트,126,2,"$150 (약 195,900원)",1133490-UMWH,-,Ultra Matte White
18,https://kream.co.kr/products/90286?fetchRelated=true,56,UGG,UGG Tasman Slipper Dark Grey,어그 타스만 슬리퍼 다크 그레이,317,4,"$100 (약 130,600원)",5950-DGRY,-,Dark Grey
19,https://kream.co.kr/products/84291?fetchRelated=true,3674,UGG,(W) UGG Tasman Slipper Chestnut,(W) 어그 타스만 슬리퍼 체스트넛,5809,102,"$100 (약 130,600원)",5955-CHE,-,Chestnut
20,https://kream.co.kr/products/84601?fetchRelated=true,2797,UGG,(W) UGG Classic Mini II Boots Black,(W) 어그 클래식 미니 2 부츠 블랙,5587,43,"$150 (약 195,900원)",1016222-BLK,-,Black
21,https://kream.co.kr/products/92344?fetchRelated=true,71,UGG,(Kids) UGG Tasman II Slipper Chestnut,(키즈) 어그 타스만 2 슬리퍼 체스트넛,274,5,"$70 (약 91,400원)",1019066K,-,Chestnut
22,https://kream.co.kr/products/87510?fetchRelated=true,1290,UGG,(W) UGG Classic Clear Mini Boots Black,(W) 어그 클래식 클리어 미니 부츠 블랙,2136,31,"$160 (약 208,900원)",1113190-BLK,-,Black
23,https://kream.co.kr/products/213748?fetchRelated=true,27,UGG,(Kids) UGG Classic Brellah Mini Boot Mustard Seed Jasmine,(키즈) 어그 클래식 브렐라 미니 부츠 머스타드 시드 자스민,186,2,"$130 (약 169,700원)",1143697K-MSJS,-,Mustard Seed/Jasmine
24,https://kream.co.kr/products/84283?fetchRelated=true,18000,UGG,(W) UGG Coquette Slipper Chestnut,(W) 어그 코케트 슬리퍼 체스트넛,13000,360,"$120 (약 156,700원)",5125-CHE,-,Chestnut
25,https://kream.co.kr/products/91420?fetchRelated=true,224,UGG,(W) UGG Embroidered Logo Earmuff Black,(W) 어그 자수 로고 이어머프 블랙,1167,5,"138,000원",20955-BLK,-,Black
26,https://kream.co.kr/products/84300?fetchRelated=true,1000,UGG,(W) UGG Coquette Slipper Black,(W) 어그 코케트 슬리퍼 블랙,1748,20,"$120 (약 156,700원)",5125-BLK,-,Black
27,https://kream.co.kr/products/84295?fetchRelated=true,1416,UGG,(W) UGG Scuffette II Slipper Chestnut,(W) 어그 스커페트 2 슬리퍼 체스트넛,2845,16,"$95 (약 124,000원)",1106872-CHE,-,Chestnut
28,https://kream.co.kr/products/84603?fetchRelated=true,1390,UGG,(W) UGG Classic Ultra Mini Boots Black,(W) 어그 클래식 울트라 미니 부츠 블랙,3548,30,"$140 (약 182,800원)",1116109-BLK,-,Black
29,https://kream.co.kr/products/306595?fetchRelated=true,10,UGG,(W) UGG Goldenstar Cross Slide Chestnut,(W) 어그 골든스타 크로스 슬라이드 체스트넛,21,0,-,1137910-CHE,-,Chestnut
30,https://kream.co.kr/products/296369?fetchRelated=true,111,UGG,(Kids) UGG GoldenGlow Sea Salt,(키즈) 어그 골든글로우 시 솔트,154,1,-,1152813K-SSAL,-,Sea Salt
31,https://kream.co.kr/products/296326?fetchRelated=true,106,UGG,(Kids) UGG GoldenGlow Bison Black,(키즈) 어그 골든글로우 바이슨 블랙,179,4,"$65 (약 84,800원)",1152813K-BLK,-,Black
32,https://kream.co.kr/products/292659?fetchRelated=true,13,UGG,(W) UGG Goldenstar Hi Slide Sand,(W) 어그 골든스타 하이 슬라이드 샌드,58,0,"$140 (약 182,800원)",1155458-SAN,-,Sand
33,https://kream.co.kr/products/267737?fetchRelated=true,231,UGG,(W) UGG GoldenGlow Black,(W) 어그 골든글로우 블랙,953,5,"$100 (약 130,600원)",1152685-BLK,-,Black
34,https://kream.co.kr/products/267735?fetchRelated=true,117,UGG,(W) UGG GoldenGlow Sea Salt,(W) 어그 골든글로우 시 솔트,289,3,"$100 (약 130,600원)",1152685-SSAL,-,Sea Salt
35,https://kream.co.kr/products/267734?fetchRelated=true,387,UGG,(W) UGG GoldenGlow Bison Brown,(W) 어그 골든글로우 바이슨 브라운,599,3,"$100 (약 130,600원)",1152685-BRWN,-,Bison Brown
36,https://kream.co.kr/products/227528?fetchRelated=true,18,UGG,(Kids) UGG Ultra Mini Fluff Boots Chestnut,(키즈) 어그 울트라 미니 플러프 체스트넛,153,1,"$130 (약 169,700원)",1143701K-CHE,-,Chestnut
37,https://kream.co.kr/products/218867?fetchRelated=true,85,UGG,(W) UGG Tasman Slipper Sand Dark Cherry,(W) 어그 타스만 슬리퍼 샌드 다크 체리,281,4,-,5955-SNDD,-,Sand Dark Cherry
38,https://kream.co.kr/products/217811?fetchRelated=true,33,UGG,(W) UGG Classic Ultra Mini Platform Sand,(W) 어그 클래식 울트라 미니 플랫폼 샌드,101,6,"268,000원",1135092-SAN,-,Sand
39,https://kream.co.kr/products/216226?fetchRelated=true,15,UGG,UGG Goldencoast Clog Sand,어그 골든코스트 클로그 샌드,56,1,"$130 (약 169,700원)",1142172-SSNT,-,Sand/Santorini
40,https://kream.co.kr/products/215195?fetchRelated=true,17,UGG,UGG Bonded Fleece Trapper Hat Chestnut,어그 본디드 플리스 트래퍼 햇 체스트넛,301,3,-,22637-CHE,-,Chestnut
41,https://kream.co.kr/products/214070?fetchRelated=true,26,UGG,UGG Tasman Weather Hybrid Chestnut Whitecap,어그 타스만 웨더 하이브리드 체스트넛 화이트캡,298,8,"$150 (약 195,900원)",1144096-CWTC,-,Chestnut/Whitecap
42,https://kream.co.kr/products/214051?fetchRelated=true,15,UGG,UGG Neuman Black,어그 뉴만 블랙,88,0,"$120 (약 156,700원)",1113631-BLK,23/09/01,Black
43,https://kream.co.kr/products/213993?fetchRelated=true,13,UGG,(Kids) UGG Tasman II Slipper Black,(키즈) 어그 타스만 2 슬리퍼 블랙,53,0,"$80 (약 104,400원)",1019066K-BLK,-,Black
44,https://kream.co.kr/products/213248?fetchRelated=true,19,UGG,UGG x Palace Sheepskin Mitten Chestnut,어그 x 팔라스 쉽스킨 미튼 체스트넛,217,7,"$160 (약 208,900원)",-,23/12/01,Chestnut
45,https://kream.co.kr/products/213247?fetchRelated=true,11,UGG,UGG x Palace Sheepskin Mitten Burnt Olive,어그 x 팔라스 쉽스킨 미튼 번트 올리브,69,7,"$160 (약 208,900원)",-,23/12/01,Burnt Olive
46,https://kream.co.kr/products/212758?fetchRelated=true,61,UGG,UGG x Palace Tasman Slipper Burnt Olive,어그 x 팔라스 타스만 슬리퍼 번트 올리브,731,11,"$190 (약 248,100원)",1157290-BTOL,23/12/01,Burnt Olive
47,https://kream.co.kr/products/212753?fetchRelated=true,463,UGG,UGG x Palace Tasman Slipper Chestnut,어그 x 팔라스 타스만 슬리퍼 체스트넛,2460,69,"$190 (약 248,100원)",1157290-CHE,23/12/01,Chestnut
48,https://kream.co.kr/products/212566?fetchRelated=true,261,UGG,(W) UGG Tazz Slipper Sand,(W) 어그 타즈 슬리퍼 샌드,504,5,"$130 (약 169,700원)",1122553-SAN,-,Sand
49,https://kream.co.kr/products/209368?fetchRelated=true,26,UGG,UGG Scuff Slipper Black,어그 스커프 슬리퍼 블랙,87,0,"$90 (약 117,500원)",1101111-BLK,-,Black
